Year,Month,MS,,,,
2020,8,9.5,,2020,8,0
2020,9,10.5,,2020,9,0
2020,10,11.9,,2020,10,0
2020,11,13.6,,2020,11,0
2020,12,15.3,,2020,12,0
2021,1,17.3,,2021,1,0
2021,2,19,,2021,2,0
2021,3,21.7,,2021,3,0
2021,4,24.8,,2021,4,0
2021,5,25.8,,2021,5,0
2021,6,27.6,,2021,6,0
2021,7,31.4,,2021,7,0
2021,8,35.4,,2021,8,0
2021,9,40.2,,2021,9,0
2021,10,45.2,,2021,11,0
2021,11,50.8,,2021,12,0
2021,12,55.9,,2022,1,0
2022,1,60.1,,2022,2,0
2022,2,-1,,2022,3,0
2022,3,-1,,2022,4,0
2022,4,-1,,2022,5,0
2022,5,-1,,2022,6,0
2022,6,-1,,2022,7,0
2022,7,-1,,,,
